Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 1088.1, 5710.5, 0, 2, 1.9, 
1, -515.3, 1100.2, 6343.8, 436.2, 1.82, 72.9, 
2, -414.4, 1135.5, 6761.2, 372.7, 2.57, 113.6, 
3, -513.9, 1196.1, 7327.7, 484.6, 2.79, 124.3, 
4, -475.9, 1257.2, 7797.9, 461, 3.5, 138.6, 
5, -381.6, 1300.1, 8042.7, 368, 4.57, 181.6, 
6, -378, 1341.8, 8281.8, 364.4, 5.47, 216.4, 
7, -420.7, 1413.5, 8622.5, 423.1, 5.4, 224, 
8, -390.1, 1469.1, 8888, 392.4, 6.07, 241.5, 
9, -412.1, 1553.5, 9216.1, 437.8, 6.21, 242.8, 
10, -377.6, 1607.8, 9451.4, 390.8, 6.75, 260.3, 
11, -412.9, 1683.8, 9762.2, 445, 7, 264, 
12, -375.8, 1740, 9985.4, 398, 7.13, 280.3, 
13, -314.8, 1808.5, 10128.6, 354.8, 7.42, 292.4, 
14, -265, 1848.8, 10127.7, 292.9, 8.09, 329.8, 
15, -376.9, 1929.1, 10401.5, 418.8, 8.07, 326.3, 
16, -386.2, 2006.5, 10678.8, 441.6, 8.24, 310.3, 
17, -390.4, 2087.5, 10942, 445.2, 8.17, 315.7, 
18, -383, 2147.4, 11155.4, 436.6, 8.64, 327, 
19, -418.6, 2252.3, 11508.7, 503.7, 7.78, 301.7, 
20, -408, 2330.5, 11798.1, 499.9, 7.91, 293.1, 
21, -478.7, 2427.1, 12236.1, 586.9, 7.67, 275.3, 
22, -413, 2474.1, 12434.7, 477.7, 8.07, 308.3, 
23, -326.7, 2536.6, 12504.4, 400.3, 8.34, 337.5, 
24, -483.9, 2661.2, 13047, 669.1, 6.76, 248.4, 
25, -374, 2710.2, 13152.9, 444.4, 6.8, 301.1, 
26, -291.4, 2739.1, 13100.8, 357.2, 7.26, 352.8, 
27, -343.4, 2809.5, 13197.9, 436.7, 7.75, 371.2, 
28, -297.9, 2873.4, 13218.4, 381, 7.93, 399.8, 
29, -338.8, 2973.2, 13375.6, 452.3, 7.79, 389.1, 
30, -376.8, 3046.9, 13579.6, 493.5, 7.76, 371.3, 
31, -259.4, 3106.4, 13514.3, 348.9, 8.26, 415.3, 
32, -199.7, 3157.2, 13351.3, 288.7, 8.97, 461.3, 
33, -294.8, 3243.4, 13429.6, 405.1, 9.07, 458.9, 
34, -265.6, 3298.7, 13443, 370.1, 9.07, 454.6, 
35, -253.8, 3378.3, 13465.7, 383.3, 9.31, 445, 
36, -265.2, 3459.8, 13580.2, 415.3, 8.5, 395.1, 
37, -250.3, 3522.4, 13556.9, 359.6, 8.56, 420.8, 
38, -318.3, 3595.9, 13724.3, 472.2, 8.61, 397.8, 
39, -420.1, 3690.4, 14161.5, 645.2, 7.67, 330.1, 
40, -349.3, 3737.5, 14292.8, 483.9, 7.71, 353.1, 
41, -323.1, 3793, 14328.4, 437.7, 7.99, 398.2, 
42, -300.9, 3834.6, 14385.2, 449.5, 8.25, 399.6, 
43, -252.7, 3880.3, 14297, 363.9, 8.88, 445.7, 
44, -251.5, 3941.8, 14290.2, 385.7, 8.56, 441.6, 
45, -248.2, 4027.8, 14297.6, 400.6, 8.31, 436.7, 
46, -195.7, 4072.6, 14144.2, 313.7, 8.91, 475.3, 
47, -248.6, 4147.4, 14171.9, 395.2, 8.71, 463.7, 
48, -347.2, 4224.2, 14435.4, 548, 8.16, 399.7, 
49, -278.9, 4287.9, 14473.7, 430.4, 8.25, 416.8, 
50, -270.2, 4330.6, 14489.5, 428, 8.6, 427.9, 
