ALPHA_CODE,spcd,REGION,EQUATION,CITATION,MinD,a1,a2,a3,a4,a5,a6,d1,d2,s1,HI_elev,HI_lat,HI_long
CY,805,SW,1,NA,5,5,1.69,0,0,0,0,2.5,2.19,0.5556,NA,NA,NA
BL,807,SW,2,NA,5,4.49,0.688,0,0,0,0,2.5,2.2175,0.5556,NA,NA,NA
EO,811,SW,1,NA,5,2,1.5,0,0,0,0,2.5,1.4,0.5556,NA,NA,NA
WO,815,SW,1,NA,5,3.08,1.92,0,0,0,0,2.5,2.036,0.5556,NA,NA,NA
BO,818,SW,1,NA,5,10,1.2,0,0,0,0,2.5,2.7,0.5556,NA,NA,NA
VO,821,SW,2,NA,5,4.5628,0.6925,0,0,0,0,2.5,2.2816,0.5556,NA,NA,NA
IO,839,SW,1,NA,5,2,1.5,0,0,0,0,2.5,1.4,0.5556,NA,NA,NA
BM,312,SW,1,NA,5,2,1.5,0,0,0,0,2.5,1.4,0.5556,NA,NA,NA
BU,333,SW,1,NA,5,2,1.5,0,0,0,0,2.5,1.4,0.5556,NA,NA,NA
RA,351,SW,1,NA,5,8,1.53,0,0,0,0,2.5,2.63,0.5556,NA,NA,NA
MA,361,SW,1,NA,5,1,1.43,0,0,0,0,3.11,1.008,0.5556,NA,NA,NA
GC,431,SW,3,NA,5,2.98,1.55,-0.014,0,0,0,2.15,1.646,0.5556,NA,NA,NA
DG,492,SW,1,NA,5,2,1.5,0,0,0,0,2.5,1.4,0.5556,NA,NA,NA
FL,542,SW,1,NA,5,0.5,1.62,0,0,0,0,2.5,1.22,0.5556,NA,NA,NA
WN,600,SW,1,NA,5,2,1.5,0,0,0,0,2.5,1.4,0.5556,NA,NA,NA
TO,631,SW,1,NA,13.4,10,1.05,0,0,0,0,2.23,1.63,0.5556,NA,NA,NA
SY,730,SW,1,NA,5,2,1.5,0,0,0,0,2.5,1.4,0.5556,NA,NA,NA
AS,746,SW,1,NA,5,0.5,1.62,0,0,0,0,2.5,1.22,0.5556,NA,NA,NA
CW,747,SW,1,NA,5,0.5,1.62,0,0,0,0,2.5,1.22,0.5556,NA,NA,NA
WI,920,SW,1,NA,5,2,1.5,0,0,0,0,2.5,1.4,0.5556,NA,NA,NA
