ALPHA_CODE,spcd,REGION,EQUATION,CITATION,MinD,a1,a2,a3,a4,a5,a6,d1,d2,s1,HI_elev,HI_lat,HI_long
RL,975,EC,1,Bechtold (2003),5,9.0023,1.2922,0,0,-0.0785,0,0,0,0,887,39.54,-82.52
RE,977,EC,1,Bechtold (2003),5,1.7296,2.0732,0,0.059,-0.0869,0,0,0,0,887,39.54,-82.52
YP,621,EC,1,Bechtold (2003),5,3.3543,1.1627,0,0.0857,0,0,0,0,0,887,39.54,-82.52
BW,951,EC,1,Bechtold (2003),5,1.6871,1.211,0,0.1194,-0.0264,0,0,0,0,887,39.54,-82.52
SM,318,EC,1,Bechtold (2003),5,4.9399,1.0727,0,0.1096,-0.0493,0,0,0,0,887,39.54,-82.52
AS,540,EC,1,Bechtold (2003),5,2.9672,1.3066,0,0.0585,0,0,0,0,0,887,39.54,-82.52
WA,541,EC,1,Bechtold (2003),5,1.7625,1.3413,0,0.0957,0,0,0,0,0,887,39.54,-82.52
GA,544,EC,1,Bechtold (2003),5,2.9672,1.3066,0,0.0585,0,0,0,0,0,887,39.54,-82.52
WO,802,EC,1,Bechtold (2003),5,3.2375,1.5234,0,0.0455,-0.0324,0,0,0,0,887,39.54,-82.52
RO,833,EC,1,Bechtold (2003),5,2.8908,1.4077,0,0.0643,0,0,0,0,0,887,39.54,-82.52
SK,812,EC,1,Bechtold (2003),5,2.1517,1.6064,0,0.0609,0,0,0,0,0,887,39.54,-82.52
BO,837,EC,1,Bechtold (2003),5,2.8974,1.3697,0,0.0671,0,0,0,0,0,887,39.54,-82.52
SO,806,EC,1,Bechtold (2003),5,0.5656,1.6766,0,0.0739,0,0,0,0,0,887,39.54,-82.52
BJ,824,EC,1,Bechtold (2003),5,0.5443,1.4882,0,0.0565,0,0,0,0,0,887,39.54,-82.52
CK,826,EC,1,Bechtold (2003),5,0.5189,1.4134,0,0.1365,-0.0806,0,0,0,0,887,39.54,-82.52
SW,804,EC,1,Bechtold (2003),5,3.2375,1.5234,0,0.0455,-0.0324,0,0,0,0,887,39.54,-82.52
