Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 1088.1, 5710.5, 0, 2, 1.9, 
1, -333.4, 1095, 6050.1, 278.5, 2.67, 83.5, 
2, -316.8, 1123, 6331.1, 280.9, 3.65, 136, 
3, -290.2, 1160.5, 6535.8, 267.5, 4.8, 177.1, 
4, -328.7, 1214.1, 6813.6, 312.2, 5.14, 200.5, 
5, -407.8, 1283.2, 7208.8, 397, 5.48, 206.6, 
6, -361.3, 1342.1, 7503.2, 355.7, 6.04, 226.1, 
7, -304.9, 1401, 7700.5, 312.9, 6.51, 241.9, 
8, -370, 1470.5, 7998, 377.2, 7.16, 257.1, 
9, -326.9, 1530.6, 8200.2, 339.5, 7.91, 276.5, 
10, -339.5, 1603.5, 8450.1, 362.7, 8.21, 286.9, 
11, -341.3, 1666.9, 8692.1, 367, 8.48, 290.9, 
12, -299.4, 1721.8, 8834.6, 324, 8.95, 313.2, 
13, -320.2, 1793.5, 9049.3, 357.3, 8.76, 314.1, 
14, -371, 1880.9, 9363.8, 418.1, 8.06, 301.6, 
15, -434, 1973.3, 9786.6, 494.2, 8.22, 281.3, 
16, -348.6, 2030, 9981.4, 396.5, 8.63, 302.2, 
17, -348.7, 2097.8, 10212.7, 403.3, 8.35, 307.2, 
18, -256, 2150.6, 10227.1, 303.6, 8.95, 345.5, 
19, -432, 2247.3, 10645, 511.1, 8.76, 316.6, 
20, -384, 2327.9, 10930.9, 463.1, 8.78, 318.1, 
21, -289.4, 2359.2, 10961.6, 337.6, 9.17, 357.9, 
22, -343.4, 2430.6, 11158.7, 420, 9.12, 361.6, 
23, -288.6, 2490.5, 11248, 356.7, 9.35, 379.2, 
24, -333.1, 2568.2, 11431.4, 415.1, 8.97, 376.3, 
25, -340.4, 2650.2, 11657.3, 451.2, 9.12, 359.4, 
26, -307.8, 2715.6, 11789.5, 398.3, 9.14, 367.3, 
27, -320.4, 2771.7, 11922.3, 409, 9.49, 377.6, 
28, -282.9, 2843.4, 12012.9, 375.5, 9.44, 388.9, 
29, -332.5, 2916.5, 12191.7, 435.9, 9.57, 384.5, 
30, -398.7, 3020.1, 12548.5, 545.7, 9.27, 348.1, 
31, -237.9, 3036.5, 12456.8, 319.5, 9.98, 397.3, 
32, -116.4, 3038.3, 12139.7, 176.7, 11.26, 480.5, 
33, -353.7, 3153.8, 12453.3, 493.8, 10.04, 422, 
34, -343.5, 3256, 12717.8, 482.8, 8.35, 380.5, 
35, -348.9, 3329.7, 12926.1, 483.6, 8.63, 370.2, 
36, -242.5, 3378.2, 12922.4, 360.9, 8.93, 388.1, 
37, -276.7, 3422.1, 12970, 389.4, 8.94, 401.9, 
38, -290.9, 3496.9, 13065.4, 416.9, 9.13, 411.4, 
39, -351.5, 3574.7, 13304.1, 506.7, 9.08, 386.6, 
40, -301.9, 3637.1, 13389.9, 431.3, 9.25, 406.1, 
41, -263.6, 3676.3, 13401.1, 386.2, 9.43, 422.3, 
42, -225.6, 3725.8, 13356.7, 348.7, 9.33, 441.1, 
43, -225.8, 3785, 13345.3, 359.6, 9.37, 442, 
44, -215.1, 3835.9, 13291.2, 334.2, 9.73, 464, 
45, -233.2, 3901.9, 13329.9, 379.5, 9.09, 446.4, 
46, -208.1, 3958.9, 13320.3, 348, 8.62, 439.5, 
47, -310.4, 4023.5, 13527.5, 487.2, 8.85, 398.7, 
48, -304, 4084.9, 13674.9, 468.9, 8.99, 394.6, 
49, -333.9, 4147.4, 13902.1, 521, 8.72, 370.5, 
50, -216, 4190.4, 13818.7, 349.6, 8.82, 412.9, 
